name;attributes;price
Használt Galaxy Chromebook Go Chrome OS Laptop;"Celeron N4500 (1100), 64 eMMc GB, 4096 (DDR4) MB, 14"" HD LED matt, Intel UHD, Chrome OS";Bruttó: 39 900 Ft
Lenovo IdeaPad 1 82V700FBHV Blue NOS Laptop;"Celeron N4020 (up to 2800), 256 NVMe SSD GB, 8192 (DDR4) MB, 15,6"" FHD LED matt, Intel UHD 600";Bruttó: 79 900 Ft
Lenovo V15 G4 82YU00YPHV Black NOS Laptop;"AMD Ryzen 3 7320U (2400), 512 GB NVMe SSD, 8192 (DDR5) MB, 15,6"" FHD LED matt, AMD Radeon 610M";Bruttó: 109 900 Ft
Lenovo IdeaPad 1 82QD009GHV Silver NOS Laptop;"Core i3 1215U (up to 4400), 256 NVMe SSD GB, 8192 (DDR4) MB, 15,6"" FHD LED matt, Intel UHD";Bruttó: 119 900 Ft
Lenovo V15 G4 83A1006VHV Black NOS Laptop;"Core i3 1315U (upto 4500), 512 GB NVMe SSD, 8192 (DDR4) MB, 15,6"" IPS FHD LED matt, Intel UHD";Bruttó: 119 900 Ft
Asus VivoBook Go E1504FA-NJ648 Black NOS Laptop;"AMD Ryzen 3 7320U (2400), 512 GB NVMe SSD, 8192 (DDR5) MB, 15,6"" FHD LED matt, AMD Radeon 610M";Bruttó: 124 900 Ft
HP 250 G10 A23JSEA Silver NOS Laptop;"Core i3 1315U (upto 4500), 512 GB NVMe SSD, 8192 (DDR4) MB, 15,6"" IPS FHD LED matt, Intel UHD";Bruttó: 124 900 Ft
Használt Dell Latitude 7400-A 3M 2 in 1 Silver W11 Pro Laptop;"Core i5 8365U (1600), 512 GB NVMe SSD, 16384 (DDR3) MB, 14"" FHD Touch fényes, Intel UHD 620, Windows 11 Pro 64Bit";Bruttó: 129 900 Ft
Asus VivoBook Go E1504GA-NJ282 Silver NOS Laptop;"Core i3 N305 (up to 3800), 512 GB NVMe SSD, 8192 (DDR4) MB, 15,6"" FHD LED matt, Intel UHD";Bruttó: 129 900 Ft
Lenovo V15 G4 83A1006XHV Black NOS Laptop;"Core i3 1315U (upto 4500), 512 GB NVMe SSD, 16384 (DDR4) MB, 15,6"" IPS FHD LED matt, Intel UHD";Bruttó: 136 900 Ft
Használt Dell Latitude 7400-A+ 2 in 1 Silver W11 Pro 1Y Tablet;"Core i5 8365U (1600), 512 GB NVMe SSD, 16384 (DDR3) MB, 14"" FHD Touch fényes, Intel UHD 620, Windows 11 Pro 64Bit";Bruttó: 139 900 Ft
Lenovo V15 G4 82YU00PSHV Black NOS Laptop;"AMD Ryzen 5 7520U (2800), 256 NVMe SSD GB, 16384 (DDR5) MB, 15,6"" FHD LED matt, AMD Radeon 610M";Bruttó: 149 900 Ft
Dell Vostro 3520-I3A1035LE Dark Grey NOS Laptop;"Core i3 1215U (up to 4400), 512 GB NVMe SSD, 8192 (DDR4) MB, 15,6"" WVA FHD LED matt, Intel UHD";Bruttó: 159 900 Ft
HP 250 G10 8A5D5EA Silver NOS Laptop;"Core i5 1334U (up to 4600), 512 GB NVMe SSD, 16384 (DDR4) MB, 15,6"" IPS FHD LED matt, Intel Iris Xe";Bruttó: 169 900 Ft
Dell Vostro 3520-I5A1008LE Dark Grey NOS Laptop;"Core i5 1235U (up to 4400), 512 GB NVMe SSD, 8192 (DDR4) MB, 15,6"" FHD WV LED matt, Intel Iris Xe";Bruttó: 169 900 Ft
HP 250 G10 9Y714AT Silver NOS Laptop;"Core i5 1334U (up to 4600), 512 GB NVMe SSD, 16384 (DDR4) MB, 15,6"" IPS FHD LED matt, Intel UHD Graphics";Bruttó: 169 900 Ft
Lenovo V15 G4 83A100ABHV Black NOS Laptop;"Core i5 13420H (up to 4600), 512 GB NVMe SSD, 16384 (DDR4) MB, 15,6"" IPS FHD LED matt, Intel UHD";Bruttó: 174 900 Ft
Lenovo V15 G4 83A1008WHV Black NOS Laptop;"Core i5 13420H (up to 4600), 512 GB NVMe SSD, 8192 (DDR4) MB, 15,6"" IPS FHD LED matt, Intel UHD";Bruttó: 174 900 Ft
Dell Vostro 3520-I5A981LE Dark Grey NOS Laptop;"Core i5 1235U (up to 4400), 512 GB NVMe SSD, 8192 (DDR4) MB, 15,6"" FHD WV LED matt, Intel Iris Xe";Bruttó: 179 900 Ft
Dell Vostro 3520-I5A987LE Dark Grey NOS Laptop;"Core i5 1235U (up to 4400), 512 GB NVMe SSD, 8192 (DDR4) MB, 15,6"" FHD WV LED matt, Intel Iris Xe";Bruttó: 179 900 Ft
Dell Vostro 3520-I5A1032LE Dark Grey NOS Laptop;"Core i5 1235U (up to 4400), 512 GB NVMe SSD, 8192 (DDR4) MB, 15,6"" FHD WV LED matt, Intel Iris Xe";Bruttó: 179 900 Ft
HP 250 G10 9Y715AT Silver W11 Laptop;"Core i5 1334U (up to 4600), 512 GB NVMe SSD, 8192 (DDR4) MB, 15,6"" IPS FHD LED matt, Intel Iris Xe, Windows 11 Home 64Bit";Bruttó: 179 900 Ft
Lenovo IdeaPad Slim 3 83ER0027HV Silver NOS Laptop;"Core i5 12450H (up to 4400), 512 GB NVMe SSD, 16384 (DDR5) MB, 15,6"" IPS FHD LED matt, Intel UHD";Bruttó: 184 900 Ft
Asus VivoBook X1504VA-BQ765 Silver NOS Laptop;"Core i5 1335U (up to 4600), 512 GB NVMe SSD, 8192 (DDR4) MB, 15,6"" FHD IPS-Level matt, Intel Iris Xe";Bruttó: 184 900 Ft
Lenovo V15 G3 82TT00A5HV Black NOS Laptop;"Core i5 1235U (up to 4400), 512 GB NVMe SSD, 8192 (DDR4) MB, 15,6"" FHD LED matt, Intel Iris Xe";Bruttó: 189 900 Ft
Lenovo IdeaPad Slim 3 83ER0028HV Silver NOS Laptop;"Core i5 12450H (up to 4400), 1TB NVMe SSD GB, 16384 (DDR5) MB, 15,6"" IPS FHD LED matt, Intel UHD";Bruttó: 194 900 Ft
Asus VivoBook X1504VA-BQ7656 Silver NOS Laptop;"Core i5 1335U (up to 4600), 512 GB NVMe SSD, 16384 (DDR4) MB, 15,6"" FHD IPS-Level matt, Intel Iris Xe";Bruttó: 194 900 Ft
Lenovo V15 G4 83FS002KHV Black NOS Laptop;"Core i5 12500H (up to 4500), 512 GB NVMe SSD, 16384 (DDR4) MB, 15,6"" FHD LED matt, Intel Iris Xe";Bruttó: 199 900 Ft
Dell Vostro 3530-I5A1033LE Dark Grey NOS Laptop;"Core i5 1334U (up to 4600), 512 GB NVMe SSD, 16384 (DDR4) MB, 15,6"" WVA FHD LED matt, Intel Iris Xe";Bruttó: 199 900 Ft
Dell Vostro 3520-I3A1036WE Dark Grey W11 Laptop;"Core i3 1215U (up to 4400), 512 GB NVMe SSD, 8192 (DDR4) MB, 15,6"" WVA FHD LED matt, Intel UHD, Windows 11 Home 64Bit";Bruttó: 199 900 Ft
